name,module,category,time,timedAction,tags,skillRequired,xpAward,needToBeLearn,autoLearnAll,autoLearnAny,allowBatchCraft,metaRecipe,onCreate,tooltip,inputTypes,inputTags,inputFluids,outputTypes,itemMappers,fluidIO,foodTypes,deltaCalories,deltaCarbohydrates,deltaLipids,deltaProteins,deltaHungerChange,deltaThirstChange,deltaReason,inputsRaw,outputsRaw,sourceFile,sourceLine
CraftMakeshiftWalkieTalkie,Base,Electrical,100,MakingElectrical,AnySurfaceCraft,Electricity:2,Electricity:20,true,,Electricity:7,,,RecipeCodeOnCreate.radioCraft,,Base.Amplifier;Base.ElectricWire;Base.ElectronicsScrap;Base.LightBulb;Base.LightBulbGreen;Base.RadioReceiver;Base.RadioTransmitter,base:aluminum;base:screwdriver,,Base.WalkieTalkieMakeShift,,false,,,,,,,,not-in-dataset: item 3 [Base.ElectronicsScrap] flags[NoBrokenItems] ; not-in-dataset: item 1 [Base.Amplifier] flags[NoBrokenItems] ; not-in-dataset: item 1 [Base.LightBulb] flags[NoBrokenItems] ; not-in-dataset: item 1 [Base.LightBulbGreen] flags[NoBrokenItems] ; not-in-dataset: item 1 [Base.RadioReceiver] flags[NoBrokenItems] ; not-in-dataset: item 1 [Base.RadioTransmitter] flags[NoBrokenItems] ; not-in-dataset: item 2 [Base.ElectricWire] flags[NoBrokenItems] ; tags-only: item 3 tags[base:aluminum] flags[NoBrokenItems] ; not-in-dataset: item 1 Base.WalkieTalkieMakeShift,item 3 [Base.ElectronicsScrap] flags[NoBrokenItems] | item 1 [Base.Amplifier] flags[NoBrokenItems] | item 1 [Base.LightBulb] flags[NoBrokenItems] | item 1 [Base.LightBulbGreen] flags[NoBrokenItems] | item 1 [Base.RadioReceiver] flags[NoBrokenItems] | item 1 [Base.RadioTransmitter] flags[NoBrokenItems] | item 2 [Base.ElectricWire] flags[NoBrokenItems] | item 3 tags[base:aluminum] flags[NoBrokenItems] | item 1 tags[base:screwdriver] mode:keep flags[NoBrokenItems],item 1 Base.WalkieTalkieMakeShift,recipes/recipes_radio.txt,78
CraftRope,Base,,140,Making,AnySurfaceCraft,,,,,,,,,,Base.Dogbane;Base.Handle;Base.HempScutched;Base.TreeBranch2;Base.WoodenStick2,base:scissors;base:sharpknife,,Base.Rope,,false,,,,,,,,multi-type: item 2 [Base.Dogbane;Base.HempScutched] flags[Prop2] ; not-in-dataset: item 1 Base.Rope,item 2 [Base.Dogbane;Base.HempScutched] flags[Prop2] | item 1 [Base.WoodenStick2;Base.TreeBranch2;Base.Handle] mode:keep flags[Prop1] | item 1 tags[base:sharpknife;base:scissors] mode:keep flags[IsNotDull;MayDegradeLight],item 1 Base.Rope,recipes/recipes.txt,3
CraftSheetRope,Base,,50,Making,InHandCraft;CanBeDoneInDark,,,,,,,,,,Base.Sheet,,,Base.SheetRope,,false,,,,,,,,not-in-dataset: item 1 [Base.Sheet] ; not-in-dataset: item 1 Base.SheetRope,item 1 [Base.Sheet],item 1 Base.SheetRope,recipes/recipes.txt,187
CraftTwine,Base,,180,Making,AnySurfaceCraft,,,,,,,,,,Base.Dogbane;Base.FlaxTow;Base.Handle;Base.HempScutched;Base.Thread_Sinew;Base.TreeBranch2;Base.WoodenStick2,base:scissors;base:sharpknife,,Base.Twine,,false,Base.Thread_Sinew;Base.Twine,,,,,,,multi-type: item 1 [Base.Dogbane;Base.HempScutched;Base.FlaxTow;25:Base.Thread_Sinew] flags[Prop2;IsExclusive] ; no-nutrition: item 1 Base.Twine,item 1 [Base.Dogbane;Base.HempScutched;Base.FlaxTow;25:Base.Thread_Sinew] flags[Prop2;IsExclusive] | item 1 [Base.WoodenStick2;Base.TreeBranch2;Base.Handle] mode:keep flags[Prop1] | item 1 tags[base:sharpknife;base:scissors] mode:keep flags[IsNotDull;MayDegradeLight],item 1 Base.Twine,recipes/recipes.txt,20
CreateBrainTan,Base,Cooking,40,MixingBowl,InHandCraft;Cooking,,,,,,,,,,,base:animalbrain;base:bowl,category:Water,Base.BrainTan,,true,,,,,,,,tags-only: item 1 tags[base:bowl] mode:destroy flags[IsFull;ItemCount] ; tags-only: item 1 tags[base:animalbrain] ; not-in-dataset: item 1 Base.BrainTan,item 1 tags[base:bowl] mode:destroy flags[IsFull;ItemCount] | -fluid 0.3 categories[Water] mode:mixture | item 1 tags[base:animalbrain],item 1 Base.BrainTan,recipes/recipes_baking.txt,67
CutBar,Base,Metalworking,50,Welding,AnySurfaceCraft,MetalWelding:1,MetalWelding:10,,,,,,,,Base.BlowTorch;Base.IronBar;Base.IronBarHalf;Base.SteelBar;Base.SteelBarHalf,base:weldingmask,,Base.IronBarHalf;Base.IronBarQuarter;Base.SteelBarHalf;Base.SteelBarQuarter,metalType,false,Base.BlowTorch,,,,,,,multi-type: item 1 [Base.IronBar;Base.IronBarHalf;Base.SteelBarHalf;Base.SteelBar] flags[Prop2;AllowDestroyedItem] mappers[metalType] ; no-nutrition: item 1 [Base.BlowTorch] flags[Prop1] ; multi-type: item 2 mapper:metalType,item 1 [Base.IronBar;Base.IronBarHalf;Base.SteelBarHalf;Base.SteelBar] flags[Prop2;AllowDestroyedItem] mappers[metalType] | item 1 [Base.BlowTorch] flags[Prop1] | item 1 tags[base:weldingmask] mode:keep,item 2 mapper:metalType,entities/blacksmith/craftRecipes/recipes_blacksmith_bar.txt,432
CutBlockIntoChunks,Base,Metalworking,100,Welding,AnySurfaceCraft,MetalWelding:1,MetalWelding:10,,,,,,,,Base.BlowTorch;Base.IronBlock;Base.PiercedIronBlock;Base.PiercedSteelBlock,base:weldingmask,,Base.SteelChunk,metalType,false,Base.BlowTorch,,,,,,,multi-type: item 1 [Base.IronBlock;Base.PiercedIronBlock;Base.PiercedSteelBlock;Base.PiercedSteelBlock] flags[Prop2] mappers[metalType] ; no-nutrition: item 2 [Base.BlowTorch] flags[Prop1] ; not-in-dataset: item 4 mapper:metalType,item 1 [Base.IronBlock;Base.PiercedIronBlock;Base.PiercedSteelBlock;Base.PiercedSteelBlock] flags[Prop2] mappers[metalType] | item 2 [Base.BlowTorch] flags[Prop1] | item 1 tags[base:weldingmask] mode:keep,item 4 mapper:metalType,entities/blacksmith/craftRecipes/recipes_blacksmith_bar.txt,406
CutChicken,Base,Cooking,150,SliceMeat_Surface,AnySurfaceCraft;Cooking,,Cooking:20,,,,,,RecipeCodeOnCreate.cutChicken,,Base.ChickenWhole,base:meatcleaver;base:sharpknife,,Base.Chicken;Base.ChickenFillet;Base.ChickenWings,,false,Base.Chicken;Base.ChickenFillet;Base.ChickenWhole;Base.ChickenWings,-195.0,0.0,7.0,96.2,-4.0,0.0,,item 1 tags[base:sharpknife;base:meatcleaver] mode:keep flags[IsNotDull;SharpnessCheck] | item 1 [Base.ChickenWhole] flags[InheritFoodAge;ItemCount],item 2 Base.Chicken | item 2 Base.ChickenWings | item 2 Base.ChickenFillet,recipes/recipes_cooking.txt,1129
CutCircularSawblade,Base,Metalworking,250,Welding,InHandCraft;Welding,MetalWelding:4,MetalWelding:25,true,,MetalWelding:6,,,,,Base.BlowTorch;Base.CircularSawblade,base:weldingmask,,Base.CircularSawblade_Half,,false,Base.BlowTorch,,,,,,,not-in-dataset: item 1 [Base.CircularSawblade] flags[AllowDestroyedItem] ; no-nutrition: item 2 [Base.BlowTorch] ; not-in-dataset: item 2 Base.CircularSawblade_Half,item 1 [Base.CircularSawblade] flags[AllowDestroyedItem] | item 2 [Base.BlowTorch] | item 1 tags[base:weldingmask] mode:keep,item 2 Base.CircularSawblade_Half,recipes/recipes_metalWelding.txt,120
CutCircularSawbladeWithBandsaw,Base,,50,Welding,MetalBandsaw,,,,,,,,,,Base.CircularSawblade,,,Base.CircularSawblade_Half,,false,,,,,,,,not-in-dataset: item 1 [Base.CircularSawblade] flags[AllowDestroyedItem] ; not-in-dataset: item 2 Base.CircularSawblade_Half,item 1 [Base.CircularSawblade] flags[AllowDestroyedItem],item 2 Base.CircularSawblade_Half,entities/blacksmith/craftRecipes/recipes_blacksmith_bandsaw.txt,19
CutHeadSack,Base,Tailoring,100,Making,InHandCraft,,,,,,false,,,,,base:cutheadsack;base:holddirt;base:normalpillow;base:scissors;base:sharpknife,,Base.Hat_HeadSack_Burlap;Base.Hat_HeadSack_Cotton;Base.Hat_HeadSack_Hide;Base.Hat_HeadSack_Tarp,fabricType,false,,,,,,,,tags-only: item 1 tags[base:holddirt;base:normalpillow;base:cutheadsack] flags[InheritColor] mappers[fabricType] ; multi-type: item 1 mapper:fabricType,item 1 tags[base:scissors;base:sharpknife] flags[SharpnessCheck;IsNotDull] mode:keep | item 1 tags[base:holddirt;base:normalpillow;base:cutheadsack] flags[InheritColor] mappers[fabricType],item 1 mapper:fabricType,recipes/recipes_tailoring_garbageTapeAndTarp.txt,82
CutIngotIntoBlocks,Base,Metalworking,100,Welding,AnySurfaceCraft,MetalWelding:2,MetalWelding:10,,,,,,,,Base.BlowTorch;Base.IronIngot;Base.PiercedIronIngot;Base.PiercedSteelIngot;Base.SteelIngot,base:weldingmask,,Base.SteelBlock,metalType,false,Base.BlowTorch,,,,,,,multi-type: item 1 [Base.IronIngot;Base.PiercedIronIngot;Base.PiercedSteelIngot;Base.SteelIngot] flags[Prop2] mappers[metalType] ; no-nutrition: item 2 [Base.BlowTorch] flags[Prop1] ; not-in-dataset: item 3 mapper:metalType,item 1 [Base.IronIngot;Base.PiercedIronIngot;Base.PiercedSteelIngot;Base.SteelIngot] flags[Prop2] mappers[metalType] | item 2 [Base.BlowTorch] flags[Prop1] | item 1 tags[base:weldingmask] mode:keep,item 3 mapper:metalType,entities/blacksmith/craftRecipes/recipes_blacksmith_bar.txt,380
CutIronBand,Base,Metalworking,250,Welding,InHandCraft;Welding,MetalWelding:4,MetalWelding:25,true,,MetalWelding:6,,,,,Base.BlowTorch;Base.IronBand,base:weldingmask,,Base.IronBandSmall,,false,Base.BlowTorch,,,,,,,not-in-dataset: item 1 [Base.IronBand] flags[AllowDestroyedItem] ; no-nutrition: item 2 [Base.BlowTorch] ; not-in-dataset: item 4 Base.IronBandSmall,item 1 [Base.IronBand] flags[AllowDestroyedItem] | item 2 [Base.BlowTorch] | item 1 tags[base:weldingmask] mode:keep,item 4 Base.IronBandSmall,recipes/recipes_metalWelding.txt,142
CutLeatherInHalf,Base,,300,Making,AnySurfaceCraft,,,,,,,,,,Base.CowLeather_Angus_Fur_Tan;Base.CowLeather_Angus_Fur_Tan_Medium;Base.CowLeather_Holstein_Fur_Tan;Base.CowLeather_Holstein_Fur_Tan_Medium;Base.CowLeather_Simmental_Fur_Tan;Base.CowLeather_Simmental_Fur_Tan_Medium;Base.DeerLeather_Fur_Tan;Base.Leather_Crude_Large;Base.Leather_Crude_Large_Tan;Base.Leather_Crude_Medium;Base.Leather_Crude_Medium_Tan;Base.PigLeather_Black_Fur_Tan;Base.PigLeather_Landrace_Fur_Tan;Base.SheepLeather_Fur_Tan,base:scissors;base:sharpknife,,Base.CowLeather_Angus_Fur_Tan_Medium;Base.CowLeather_Angus_Fur_Tan_Small;Base.CowLeather_Holstein_Fur_Tan_Medium;Base.CowLeather_Holstein_Fur_Tan_Small;Base.CowLeather_Simmental_Fur_Tan_Medium;Base.CowLeather_Simmental_Fur_Tan_Small;Base.DeerLeather_Fur_Tan_Small;Base.Leather_Crude_Medium;Base.Leather_Crude_Medium_Tan;Base.Leather_Crude_Small;Base.Leather_Crude_Small_Tan;Base.PigLeather_Black_Fur_Tan_Small;Base.PigLeather_Landrace_Fur_Tan_Small;Base.SheepLeather_Fur_Tan_Small,leatherMapper,false,,,,,,,,multi-type: item 1 [Base.Leather_Crude_Large;Base.Leather_Crude_Medium;Base.Leather_Crude_Large_Tan;Base.Leather_Crude_Medium_Tan;Base.CowLeather_Angus_Fur_Tan;Base.CowLeather_Angus_Fur_Tan_Medium;Base.CowLeather_Holstein_Fur_Tan;Base.CowLeather_Holstein_Fur_Tan_Medium;Base.CowLeather_Simmental_Fur_Tan;Base.CowLeather_Simmental_Fur_Tan_Medium;Base.SheepLeather_Fur_Tan;Base.PigLeather_Landrace_Fur_Tan;Base.PigLeather_Black_Fur_Tan;Base.DeerLeather_Fur_Tan] mappers[leatherMapper] ; multi-type: item 2 mapper:leatherMapper,item 1 [Base.Leather_Crude_Large;Base.Leather_Crude_Medium;Base.Leather_Crude_Large_Tan;Base.Leather_Crude_Medium_Tan;Base.CowLeather_Angus_Fur_Tan;Base.CowLeather_Angus_Fur_Tan_Medium;Base.CowLeather_Holstein_Fur_Tan;Base.CowLeather_Holstein_Fur_Tan_Medium;Base.CowLeather_Simmental_Fur_Tan;Base.CowLeather_Simmental_Fur_Tan_Medium;Base.SheepLeather_Fur_Tan;Base.PigLeather_Landrace_Fur_Tan;Base.PigLeather_Black_Fur_Tan;Base.DeerLeather_Fur_Tan] mappers[leatherMapper] | item 1 tags[base:sharpknife;base:scissors] mode:keep flags[IsNotDull;MayDegradeLight],item 2 mapper:leatherMapper,entities/animals/craftRecipes/recipes_leather_prep_blair.txt,3
CutSheet,Base,Tailoring,60,SewingCloth,AnySurfaceCraft,,,,,,,,,,Base.FabricRoll_Cotton,base:scissors,,Base.Sheet,,false,Base.FabricRoll_Cotton,,,,,,,no-nutrition: item 1 [Base.FabricRoll_Cotton] flags[InheritColor] ; not-in-dataset: item 1 Base.Sheet,item 1 tags[base:scissors] mode:keep flags[SharpnessCheck;IsNotDull] | item 1 [Base.FabricRoll_Cotton] flags[InheritColor],item 1 Base.Sheet,recipes/recipes_tailoring.txt,26
CutSmallMetalSheet,Base,Metalworking,250,Welding,AnySurfaceCraft,,,,,,,,,,Base.SheetMetal,base:sheetmetalsnips,,Base.SmallSheetMetal,,false,,,,,,,,not-in-dataset: item 1 [Base.SheetMetal] ; not-in-dataset: item 4 Base.SmallSheetMetal,item 1 [Base.SheetMetal] | item 1 tags[base:sheetmetalsnips] mode:keep flags[MayDegradeLight],item 4 Base.SmallSheetMetal,recipes/recipes_metalWelding.txt,85
CutTarp,Base,,80,CutClothing,InHandCraft,,,,,,,,,,Base.Tarp,base:scissors;base:sharpknife,,Base.TarpPiece,,false,,,,,,,,not-in-dataset: item 1 [Base.Tarp] flags[AllowDestroyedItem;Prop2] ; not-in-dataset: item 6 Base.TarpPiece,item 1 tags[base:scissors;base:sharpknife] mode:keep flags[MayDegradeLight;Prop1;IsNotDull] | item 1 [Base.Tarp] flags[AllowDestroyedItem;Prop2],item 6 Base.TarpPiece,recipes/recipes.txt,266
CutTurkey,Base,Cooking,150,SliceMeat_Surface,AnySurfaceCraft;Cooking,,Cooking:20,,,,,,RecipeCodeOnCreate.cutChicken,,Base.TurkeyWhole,base:meatcleaver;base:sharpknife,,Base.TurkeyFillet;Base.TurkeyLegs;Base.TurkeyWings,,false,Base.TurkeyFillet;Base.TurkeyLegs;Base.TurkeyWhole;Base.TurkeyWings,-501.0,0.0,4.7,99.8,-20.0,0.0,,item 1 tags[base:sharpknife;base:meatcleaver] mode:keep flags[IsNotDull;SharpnessCheck] | item 1 [Base.TurkeyWhole] flags[InheritFoodAge;ItemCount],item 2 Base.TurkeyLegs | item 2 Base.TurkeyWings | item 2 Base.TurkeyFillet,recipes/recipes_cooking.txt,1150
CutUpBelt,Base,,200,CutClothing,InHandCraft,,,,,,,,,,,base:scissors;base:scrapasbelt;base:sharpknife,,Base.Buckle;Base.LeatherStrips,,false,,,,,,,,tags-only: item 1 tags[base:scrapasbelt] flags[IsEmpty;AllowDestroyedItem;IsNotWorn;Prop2] ; not-in-dataset: item 1 Base.Buckle ; not-in-dataset: item 1 Base.LeatherStrips,item 1 tags[base:scissors;base:sharpknife] mode:keep flags[MayDegradeLight;Prop1;IsNotDull] | item 1 tags[base:scrapasbelt] flags[IsEmpty;AllowDestroyedItem;IsNotWorn;Prop2],item 1 Base.Buckle | item 1 Base.LeatherStrips,recipes/recipes.txt,449
CutUpIronBandWithBandsaw,Base,,50,Welding,MetalBandsaw,,,,,,,,,,Base.IronBand,,,Base.IronBandSmall,,false,,,,,,,,not-in-dataset: item 1 [Base.IronBand] flags[AllowDestroyedItem] ; not-in-dataset: item 4 Base.IronBandSmall,item 1 [Base.IronBand] flags[AllowDestroyedItem],item 4 Base.IronBandSmall,entities/blacksmith/craftRecipes/recipes_blacksmith_bandsaw.txt,34
CutUpLeather_Large,Base,Farming,300,Making,AnySurfaceCraft,,,,,,,,,,,base:leathercrudetannedlarge;base:leatherfurtannedlarge;base:scissors;base:sharpknife,,Base.LeatherStrips,,false,,,,,,,,tags-only: item 1 tags[base:leathercrudetannedlarge;base:leatherfurtannedlarge] ; not-in-dataset: item 25 Base.LeatherStrips,item 1 tags[base:leathercrudetannedlarge;base:leatherfurtannedlarge] | item 1 tags[base:sharpknife;base:scissors] mode:keep flags[IsNotDull;MayDegradeLight],item 25 Base.LeatherStrips,entities/animals/craftRecipes/recipes_leather_prep.txt,3
CutUpLeather_Medium,Base,Farming,300,Making,AnySurfaceCraft,,,,,,,,,,,base:leathercrudetannedmedium;base:leatherfurtannedmedium;base:scissors;base:sharpknife,,Base.LeatherStrips,,false,,,,,,,,tags-only: item 1 tags[base:leathercrudetannedmedium;base:leatherfurtannedmedium] ; not-in-dataset: item 12 Base.LeatherStrips,item 1 tags[base:leathercrudetannedmedium;base:leatherfurtannedmedium] | item 1 tags[base:sharpknife;base:scissors] mode:keep flags[IsNotDull;MayDegradeLight],item 12 Base.LeatherStrips,entities/animals/craftRecipes/recipes_leather_prep.txt,20
CutUpLeather_Small,Base,Farming,300,Making,AnySurfaceCraft,,,,,,,,,,,base:leathercrudetannedsmall;base:leatherfurtannedsmall;base:scissors;base:sharpknife,,Base.LeatherStrips,,false,,,,,,,,tags-only: item 1 tags[base:leathercrudetannedsmall;base:leatherfurtannedsmall] ; not-in-dataset: item 6 Base.LeatherStrips,item 1 tags[base:leathercrudetannedsmall;base:leatherfurtannedsmall] | item 1 tags[base:sharpknife;base:scissors] mode:keep flags[IsNotDull;MayDegradeLight],item 6 Base.LeatherStrips,entities/animals/craftRecipes/recipes_leather_prep.txt,37
CutUpTire,Base,,300,Making,AnySurfaceCraft,Strength:4,,false,,,,,,,,base:boltcutters;base:metalsaw;base:wholetire,,Base.ScrapMetal;Base.TirePiece,,false,,,,,,,,tags-only: item 1 tags[base:wholetire] flags[AllowDestroyedItem] ; not-in-dataset: item 4 Base.TirePiece ; not-in-dataset: item 1 Base.ScrapMetal,item 1 tags[base:metalsaw;base:boltcutters] mode:keep flags[Prop1;MayDegradeLight] | item 1 tags[base:wholetire] flags[AllowDestroyedItem],item 4 Base.TirePiece | item 1 Base.ScrapMetal,recipes/recipes.txt,410
CutUpTireWithBandsaw,Base,,200,Welding,MetalBandsaw,,,,,,,,,,,base:wholetire,,Base.ScrapMetal;Base.TirePiece,,false,,,,,,,,tags-only: item 1 tags[base:wholetire] flags[AllowDestroyedItem] ; not-in-dataset: item 4 Base.TirePiece ; not-in-dataset: item 1 Base.ScrapMetal,item 1 tags[base:wholetire] flags[AllowDestroyedItem],item 4 Base.TirePiece | item 1 Base.ScrapMetal,entities/blacksmith/craftRecipes/recipes_blacksmith_bandsaw.txt,3
Cut_Iron_Bar_Halves,Base,Metalworking,200,Welding,MetalBandsaw,,,,,,,,,,Base.IronBar,,,Base.IronBarHalf,barMap,false,,,,,,,,not-in-dataset: item 1 [Base.IronBar] flags[AllowDestroyedItem] mappers[barMap] ; not-in-dataset: item 2 mapper:barMap,item 1 [Base.IronBar] flags[AllowDestroyedItem] mappers[barMap],item 2 mapper:barMap,entities/blacksmith/craftRecipes/recipes_blacksmith_bandsaw.txt,65
Cut_Iron_Bar_Quarters,Base,Metalworking,200,Welding,MetalBandsaw,,,,,,,,,,Base.IronBarHalf,,,Base.IronBarQuarter,barMap,false,,,,,,,,not-in-dataset: item 1 [Base.IronBarHalf] flags[AllowDestroyedItem] mappers[barMap] ; not-in-dataset: item 2 mapper:barMap,item 1 [Base.IronBarHalf] flags[AllowDestroyedItem] mappers[barMap],item 2 mapper:barMap,entities/blacksmith/craftRecipes/recipes_blacksmith_bandsaw.txt,86
Cut_Iron_Chunks,Base,Metalworking,50,Welding,MetalBandsaw,,,,,,,,,,Base.IronBlock,,,Base.IronChunk,,false,,,,,,,,not-in-dataset: item 1 [Base.IronBlock] ; not-in-dataset: item 4 Base.IronChunk,item 1 [Base.IronBlock],item 4 Base.IronChunk,entities/blacksmith/craftRecipes/recipes_blacksmith_bandsaw.txt,49
Cut_Steel_Sheet_Into_Small_Sheets,Base,Metalworking,50,Welding,MetalBandsaw,,,,,,,,,,Base.SheetMetal,,,Base.SmallSheetMetal,,false,,,,,,,,not-in-dataset: item 1 [Base.SheetMetal] ; not-in-dataset: item 4 Base.SmallSheetMetal,item 1 [Base.SheetMetal],item 4 Base.SmallSheetMetal,entities/blacksmith/craftRecipes/recipes_blacksmith_bandsaw.txt,107
DisinfectBandage,Base,Medical,100,ScrubClothWithSoap,InHandCraft;Health;CanBeDoneFromFloor,,,,,,,,,Tooltip_needsToBeHot,*;Base.Bandage;Base.RippedSheets,,Water,Base.AlcoholBandage;Base.AlcoholRippedSheets,ragType,true,,,,,,,,multi-type: item 1 [Base.RippedSheets;Base.Bandage] mode:destroy flags[AllowFavorite;InheritFavorite] mappers[ragType] ; multi-type: item 1 mapper:ragType,item 1 [Base.RippedSheets;Base.Bandage] mode:destroy flags[AllowFavorite;InheritFavorite] mappers[ragType] | item 1 [*] mode:keep | -fluid 0.5 [Water],item 1 mapper:ragType,recipes/recipes_medical.txt,83
DisinfectRag,Base,Medical,40,ApplyAlcohol,InHandCraft;Health,,,,,,,,,,*;Base.Bandage;Base.RippedSheets,,RubbingAlcohol;Vodka;Whiskey,Base.AlcoholBandage;Base.AlcoholRippedSheets,ragType,true,,,,,,,,multi-type: item 1 [Base.RippedSheets;Base.Bandage] mode:destroy flags[AllowFavorite;InheritFavorite] mappers[ragType] ; wildcard: item 1 [*] ; multi-type: item 1 mapper:ragType,item 1 [Base.RippedSheets;Base.Bandage] mode:destroy flags[AllowFavorite;InheritFavorite] mappers[ragType] | item 1 [*] | -fluid 0.1 [RubbingAlcohol;Vodka;Whiskey],item 1 mapper:ragType,recipes/recipes_medical.txt,60
DismantleBlade,Base,Assembly,100,CraftWeapon1H,AnySurfaceCraft,,,,,,,,,,Base.CrudeKnife;Base.CrudeShortSword;Base.CrudeSword;Base.CrudeSword_Broken;Base.FlintKnife;Base.HandScythe;Base.HandScytheForged;Base.HuntingKnife;Base.HuntingKnifeForged;Base.KitchenKnife;Base.KitchenKnifeForged;Base.LargeKnife;Base.LongCrudeKnife;Base.Machete;Base.MacheteForged;Base.MeatCleaver;Base.MeatCleaverForged;Base.ShortSword;Base.StoneKnifeLong;Base.Sword;Base.Sword_Broken,base:clubhammer;base:hammer;base:mallet,,Base.CrudeBlade;Base.CrudeShortSwordBlade;Base.CrudeSwordBlade;Base.CrudeSwordBlade_Broken;Base.HandScytheBlade;Base.HuntingKnifeBlade;Base.KitchenKnifeBlade;Base.LargeKnifeBlade;Base.LongCrudeBlade;Base.MacheteBlade;Base.MeatCleaverBlade;Base.ShortSwordBlade;Base.StoneBlade;Base.StoneBladeLong;Base.SwordBlade;Base.SwordBlade_Broken,ThingMapper,false,,,,,,,,multi-type: item 1 [Base.CrudeKnife;Base.CrudeShortSword;Base.CrudeSword;Base.CrudeSword_Broken;Base.HandScythe;Base.HandScytheForged;Base.HuntingKnife;Base.HuntingKnifeForged;Base.KitchenKnife;Base.KitchenKnifeForged;Base.LargeKnife;Base.LongCrudeKnife;Base.Machete;Base.MacheteForged;Base.MeatCleaver;Base.MeatCleaverForged;Base.ShortSword;Base.Sword;Base.Sword_Broken;Base.FlintKnife;Base.StoneKnifeLong] flags[InheritCondition;InheritSharpness;Prop2;AllowDestroyedItem] mappers[ThingMapper] ; multi-type: item 1 mapper:ThingMapper,item 1 tags[base:hammer;base:clubhammer;base:mallet] mode:keep flags[Prop1] | item 1 [Base.CrudeKnife;Base.CrudeShortSword;Base.CrudeSword;Base.CrudeSword_Broken;Base.HandScythe;Base.HandScytheForged;Base.HuntingKnife;Base.HuntingKnifeForged;Base.KitchenKnife;Base.KitchenKnifeForged;Base.LargeKnife;Base.LongCrudeKnife;Base.Machete;Base.MacheteForged;Base.MeatCleaver;Base.MeatCleaverForged;Base.ShortSword;Base.Sword;Base.Sword_Broken;Base.FlintKnife;Base.StoneKnifeLong] flags[InheritCondition;InheritSharpness;Prop2;AllowDestroyedItem] mappers[ThingMapper],item 1 mapper:ThingMapper,recipes/recipes_disassembly.txt,3
DismantleElectronics,Base,Electrical,60,DismantleElectrical,InHandCraft;Electrical,,Electricity:2,,,,,,RecipeCodeOnCreate.dismantleFlashlight,,,base:camera;base:digital;base:flashlight;base:miscelectronic;base:screwdriver,,Base.ElectronicsScrap,,false,,,,,,,,tags-only: item 1 tags[base:camera;base:digital;base:miscelectronic;base:flashlight] mode:destroy flags[IsNotWorn;ItemCount;ResearchInput] ; not-in-dataset: item 1 Base.ElectronicsScrap,item 1 tags[base:screwdriver] mode:keep flags[NoBrokenItems] | item 1 tags[base:camera;base:digital;base:miscelectronic;base:flashlight] mode:destroy flags[IsNotWorn;ItemCount;ResearchInput],item 1 Base.ElectronicsScrap,recipes/recipes_electrical.txt,37
DismantleElectronicsDevice,Base,Electrical,60,DismantleElectrical,InHandCraft;Electrical,,Electricity:10,,,,,,RecipeCodeOnCreate.dismantleElectronics,,Base.HamRadio1;Base.HamRadio2;Base.HamRadioMakeShift;Base.ManPackRadio;Base.RadioBlack;Base.RadioMakeShift;Base.RadioRed;Base.TvAntique;Base.TvBlack;Base.TvWideScreen;Base.WalkieTalkie1;Base.WalkieTalkie2;Base.WalkieTalkie3;Base.WalkieTalkie4;Base.WalkieTalkie5;Base.WalkieTalkieMakeShift,base:screwdriver,,Base.ElectronicsScrap,,false,,,,,,,,multi-type: item 1 [Base.TvAntique;Base.TvWideScreen;Base.TvBlack;Base.RadioRed;Base.RadioBlack;Base.WalkieTalkie1;Base.WalkieTalkie2;Base.WalkieTalkie3;Base.WalkieTalkie4;Base.WalkieTalkie5;Base.ManPackRadio;Base.HamRadio1;Base.HamRadio2;Base.WalkieTalkieMakeShift;Base.HamRadioMakeShift;Base.RadioMakeShift] flags[NoBrokenItems;ResearchInput;ItemCount] mode:destroy ; not-in-dataset: item 1 Base.ElectronicsScrap,item 1 [Base.TvAntique;Base.TvWideScreen;Base.TvBlack;Base.RadioRed;Base.RadioBlack;Base.WalkieTalkie1;Base.WalkieTalkie2;Base.WalkieTalkie3;Base.WalkieTalkie4;Base.WalkieTalkie5;Base.ManPackRadio;Base.HamRadio1;Base.HamRadio2;Base.WalkieTalkieMakeShift;Base.HamRadioMakeShift;Base.RadioMakeShift] flags[NoBrokenItems;ResearchInput;ItemCount] mode:destroy | item 1 tags[base:screwdriver] mode:keep flags[NoBrokenItems],item 1 Base.ElectronicsScrap,recipes/recipes_radio.txt,3
